Record Length,10000,Points,-20.0000000,-104.1875035E-3,,Record Length,10000,Points,-20.0000000,2.6359375,,Record Length,10000,Points,-20.0000000,-1.7590624,,Record Length,10000,Points,-20.0000000,834.375023842E-3,
Sample Interval,4.00000019E-3,s,-19.9960003,-104.2812541E-3,,Sample Interval,4.00000019E-3,s,-19.9960003,2.6347656,,Sample Interval,4.00000019E-3,s,-19.9960003,-1.7603124,,Sample Interval,4.00000019E-3,s,-19.9960003,835.937500000E-3,
Trigger Point,5.00000000E3,Samples,-19.9920006,-104.3437570E-3,,Trigger Point,5.00000000E3,Samples,-19.9920006,2.6342969,,Trigger Point,5.00000000E3,Samples,-19.9920006,-1.7612500,,Trigger Point,5.00000000E3,Samples,-19.9920006,838.281273842E-3,
,,,-19.9880009,-104.3437570E-3,,,,,-19.9880009,2.6367188,,,,,-19.9880009,-1.7621875,,,,,-19.9880009,835.937500000E-3,
,,,-19.9839993,-104.4375077E-3,,,,,-19.9839993,2.6364844,,,,,-19.9839993,-1.7628125,,,,,-19.9839993,835.937500000E-3,
,,,-19.9799995,-104.5000032E-3,,,,,-19.9799995,2.6368749,,,,,-19.9799995,-1.7650000,,,,,-19.9799995,838.281273842E-3,
Source,CH1,,-19.9759998,-104.5312583E-3,,Source,CH2,,-19.9759998,2.6371093,,Source,CH3,,-19.9759998,-1.7674999,,Source,CH4,,-19.9759998,841.406285763E-3,
Vertical Units,V,,-19.9720001,-104.5937538E-3,,Vertical Units,V,,-19.9720001,2.6372657,,Vertical Units,V,,-19.9720001,-1.7696874,,Vertical Units,V,,-19.9720001,835.937500000E-3,
Vertical Scale,204.78125973E-3,,-19.9680004,-104.6875045E-3,,Vertical Scale,511.953113557E-3,,-19.9680004,2.6351562,,Vertical Scale,2.0478125,,-19.9680004,-1.7696874,,Vertical Scale,5.11953133,,-19.9680004,833.593785763E-3,
Vertical Offset,0,,-19.9640007,-104.7500074E-3,,Vertical Offset,0,,-19.9640007,2.6333594,,Vertical Offset,0,,-19.9640007,-1.7712500,,Vertical Offset,0,,-19.9640007,837.500035763E-3,
Horizontal Units,s,,-19.9599991,-105.0000042E-3,,Horizontal Units,s,,-19.9599991,2.6325781,,Horizontal Units,s,,-19.9599991,-1.7715625,,Horizontal Units,s,,-19.9599991,837.500035763E-3,
Horizontal Scale,4.00000019,,-19.9559994,-105.0625071E-3,,Horizontal Scale,4.00000019,,-19.9559994,2.6337500,,Horizontal Scale,4.00000019,,-19.9559994,-1.7706250,,Horizontal Scale,4.00000019,,-19.9559994,835.937500000E-3,
Pt Fmt,Y,,-19.9519997,-105.1562577E-3,,Pt Fmt,Y,,-19.9519997,2.6335156,,Pt Fmt,Y,,-19.9519997,-1.7712500,,Pt Fmt,Y,,-19.9519997,837.500035763E-3,
Yzero,0.0,,-19.9480000,-105.2187532E-3,,Yzero,-3.90660766,,-19.9480000,2.6296875,,Yzero,0.0,,-19.9480000,-1.7731249,,Yzero,0.0,,-19.9480000,830.468773842E-3,
Probe Atten,1.000000,,-19.9440002,-105.0625071E-3,,Probe Atten,49.99999619,,-19.9440002,2.6296875,,Probe Atten,1.000000,,-19.9440002,-1.7746874,,Probe Atten,1.000000,,-19.9440002,833.593785763E-3,
,,,-19.9400005,-105.1562577E-3,,,,,-19.9400005,2.6292968,,,,,-19.9400005,-1.7790625,,,,,-19.9400005,829.687535763E-3,
Note,MDO3014 - 14:20:36   2017/11/09,,-19.9360008,-105.2812561E-3,,Note,MDO3014 - 14:20:36   2017/11/09,,-19.9360008,2.6283593,,Note,MDO3014 - 14:20:36   2017/11/09,,-19.9360008,-1.7774999,,Note,MDO3014 - 14:20:36   2017/11/09,,-19.9360008,830.468773842E-3,
,,,-19.9319992,-105.1562577E-3,,,,,-19.9319992,2.6275001,,,,,-19.9319992,-1.7774999,,,,,-19.9319992,830.468773842E-3,
,,,-19.9279995,-105.3437516E-3,,,,,-19.9279995,2.6285155,,,,,-19.9279995,-1.7784375,,,,,-19.9279995,832.031250000E-3,
,,,-19.9239998,-105.5000052E-3,,,,,-19.9239998,2.6291406,,,,,-19.9239998,-1.7800000,,,,,-19.9239998,826.562523842E-3,
,,,-19.9200001,-105.5312529E-3,,,,,-19.9200001,2.6290624,,,,,-19.9200001,-1.7806250,,,,,-19.9200001,825.781285763E-3,
,,,-19.9160004,-105.5000052E-3,,,,,-19.9160004,2.6281250,,,,,-19.9160004,-1.7837499,,,,,-19.9160004,828.125000000E-3,
,,,-19.9120007,-105.5312529E-3,,,,,-19.9120007,2.6273437,,,,,-19.9120007,-1.7840625,,,,,-19.9120007,826.562523842E-3,
,,,-19.9080009,-105.6875065E-3,,,,,-19.9080009,2.6260157,,,,,-19.9080009,-1.7846875,,,,,-19.9080009,822.656273842E-3,
,,,-19.9039993,-105.6875065E-3,,,,,-19.9039993,2.6279688,,,,,-19.9039993,-1.7862500,,,,,-19.9039993,824.218750000E-3,
,,,-19.8999996,-105.6562513E-3,,,,,-19.8999996,2.6287498,,,,,-19.8999996,-1.7900000,,,,,-19.8999996,826.562523842E-3,
,,,-19.8959999,-105.9687585E-3,,,,,-19.8959999,2.6250000,,,,,-19.8959999,-1.7915624,,,,,-19.8959999,828.125000000E-3,
,,,-19.8920002,-106.0625017E-3,,,,,-19.8920002,2.6261718,,,,,-19.8920002,-1.7909374,,,,,-19.8920002,821.875035763E-3,
,,,-19.8880005,-106.0000062E-3,,,,,-19.8880005,2.6275001,,,,,-19.8880005,-1.7906250,,,,,-19.8880005,825.781285763E-3,
,,,-19.8840008,-106.1562523E-3,,,,,-19.8840008,2.6275001,,,,,-19.8840008,-1.7925000,,,,,-19.8840008,826.562523842E-3,
,,,-19.8799992,-106.2812582E-3,,,,,-19.8799992,2.6278906,,,,,-19.8799992,-1.7931249,,,,,-19.8799992,829.687535763E-3,
,,,-19.8759995,-106.4375043E-3,,,,,-19.8759995,2.6277344,,,,,-19.8759995,-1.7940625,,,,,-19.8759995,833.593785763E-3,
,,,-19.8719997,-106.4375043E-3,,,,,-19.8719997,2.6311717,,,,,-19.8719997,-1.7968750,,,,,-19.8719997,832.031250000E-3,
,,,-19.8680000,-106.3750014E-3,,,,,-19.8680000,2.6316407,,,,,-19.8680000,-1.8009374,,,,,-19.8680000,838.281273842E-3,
,,,-19.8640003,-106.4687520E-3,,,,,-19.8640003,2.6317968,,,,,-19.8640003,-1.8031249,,,,,-19.8640003,834.375023842E-3,
,,,-19.8600006,-106.4375043E-3,,,,,-19.8600006,2.6315625,,,,,-19.8600006,-1.8046875,,,,,-19.8600006,838.281273842E-3,
,,,-19.8560009,-106.5312549E-3,,,,,-19.8560009,2.6337500,,,,,-19.8560009,-1.8065624,,,,,-19.8560009,837.500035763E-3,
,,,-19.8519993,-106.5312549E-3,,,,,-19.8519993,2.6357031,,,,,-19.8519993,-1.8093749,,,,,-19.8519993,830.468773842E-3,
,,,-19.8479996,-106.5937579E-3,,,,,-19.8479996,2.6350780,,,,,-19.8479996,-1.8112500,,,,,-19.8479996,829.687535763E-3,
,,,-19.8439999,-106.7500040E-3,,,,,-19.8439999,2.6354687,,,,,-19.8439999,-1.8128124,,,,,-19.8439999,825.781285763E-3,
,,,-19.8400002,-106.6875085E-3,,,,,-19.8400002,2.6353126,,,,,-19.8400002,-1.8128124,,,,,-19.8400002,830.468773842E-3,
,,,-19.8360004,-106.6875085E-3,,,,,-19.8360004,2.6360936,,,,,-19.8360004,-1.8140625,,,,,-19.8360004,835.937500000E-3,
,,,-19.8320007,-106.7812517E-3,,,,,-19.8320007,2.6335938,,,,,-19.8320007,-1.8149999,,,,,-19.8320007,832.031250000E-3,
,,,-19.8279991,-107.0937514E-3,,,,,-19.8279991,2.6333594,,,,,-19.8279991,-1.8149999,,,,,-19.8279991,832.031250000E-3,
,,,-19.8239994,-107.0000082E-3,,,,,-19.8239994,2.6349218,,,,,-19.8239994,-1.8190625,,,,,-19.8239994,834.375023842E-3,
,,,-19.8199997,-107.2187573E-3,,,,,-19.8199997,2.6378124,,,,,-19.8199997,-1.8203125,,,,,-19.8199997,834.375023842E-3,
,,,-19.8160000,-107.3750034E-3,,,,,-19.8160000,2.6359375,,,,,-19.8160000,-1.8206249,,,,,-19.8160000,834.375023842E-3,
,,,-19.8120003,-107.4062586E-3,,,,,-19.8120003,2.6343749,,,,,-19.8120003,-1.8225000,,,,,-19.8120003,842.187523842E-3,
,,,-19.8080006,-107.5312570E-3,,,,,-19.8080006,2.6350780,,,,,-19.8080006,-1.8218750,,,,,-19.8080006,838.281273842E-3,
,,,-19.8040009,-107.4687541E-3,,,,,-19.8040009,2.6345313,,,,,-19.8040009,-1.8271874,,,,,-19.8040009,837.500035763E-3,
,,,-19.7999992,-107.7187583E-3,,,,,-19.7999992,2.6323438,,,,,-19.7999992,-1.8259375,,,,,-19.7999992,838.281273842E-3,
,,,-19.7959995,-107.8750044E-3,,,,,-19.7959995,2.6331248,,,,,-19.7959995,-1.8281250,,,,,-19.7959995,839.843750000E-3,
,,,-19.7919998,-107.7812538E-3,,,,,-19.7919998,2.6327343,,,,,-19.7919998,-1.8259375,,,,,-19.7919998,843.750000000E-3,
,,,-19.7880001,-107.9375073E-3,,,,,-19.7880001,2.6345313,,,,,-19.7880001,-1.8287500,,,,,-19.7880001,846.093773842E-3,
,,,-19.7840004,-108.0000028E-3,,,,,-19.7840004,2.6329687,,,,,-19.7840004,-1.8287500,,,,,-19.7840004,839.843750000E-3,
,,,-19.7800007,-108.1562564E-3,,,,,-19.7800007,2.6320312,,,,,-19.7800007,-1.8290625,,,,,-19.7800007,841.406285763E-3,
,,,-19.7759991,-108.2500070E-3,,,,,-19.7759991,2.6332030,,,,,-19.7759991,-1.8296875,,,,,-19.7759991,838.281273842E-3,
,,,-19.7719994,-108.1875041E-3,,,,,-19.7719994,2.6347656,,,,,-19.7719994,-1.8321874,,,,,-19.7719994,846.093773842E-3,
,,,-19.7679996,-108.1562564E-3,,,,,-19.7679996,2.6368749,,,,,-19.7679996,-1.8343749,,,,,-19.7679996,835.937500000E-3,
,,,-19.7639999,-108.0937535E-3,,,,,-19.7639999,2.6363280,,,,,-19.7639999,-1.8359375,,,,,-19.7639999,839.843750000E-3,
,,,-19.7600002,-108.3125025E-3,,,,,-19.7600002,2.6335938,,,,,-19.7600002,-1.8375000,,,,,-19.7600002,845.312535763E-3,
,,,-19.7560005,-108.4062532E-3,,,,,-19.7560005,2.6335156,,,,,-19.7560005,-1.8421874,,,,,-19.7560005,841.406285763E-3,
,,,-19.7520008,-108.4687561E-3,,,,,-19.7520008,2.6325781,,,,,-19.7520008,-1.8412499,,,,,-19.7520008,834.375023842E-3,
