Record Length,10000,Points,-20.0000000,-101.7187536E-3,,Record Length,10000,Points,-20.0000000,2.4689062,,Record Length,10000,Points,-20.0000000,-1.7221875,,Record Length,10000,Points,-20.0000000,492.187500000E-3,
Sample Interval,4.00000019E-3,s,-19.9960003,-101.7187536E-3,,Sample Interval,4.00000019E-3,s,-19.9960003,2.4679687,,Sample Interval,4.00000019E-3,s,-19.9960003,-1.7231250,,Sample Interval,4.00000019E-3,s,-19.9960003,496.093750000E-3,
Trigger Point,5.00000000E3,Samples,-19.9920006,-101.7187536E-3,,Trigger Point,5.00000000E3,Samples,-19.9920006,2.4712501,,Trigger Point,5.00000000E3,Samples,-19.9920006,-1.7225000,,Trigger Point,5.00000000E3,Samples,-19.9920006,496.093750000E-3,
,,,-19.9880009,-101.5625075E-3,,,,,-19.9880009,2.4717968,,,,,-19.9880009,-1.7221875,,,,,-19.9880009,493.750005960E-3,
,,,-19.9839993,-101.4062539E-3,,,,,-19.9839993,2.4704688,,,,,-19.9839993,-1.7203125,,,,,-19.9839993,491.406261921E-3,
,,,-19.9799995,-101.4062539E-3,,,,,-19.9799995,2.4691405,,,,,-19.9799995,-1.7193750,,,,,-19.9799995,492.187500000E-3,
Source,CH1,,-19.9759998,-101.4062539E-3,,Source,CH2,,-19.9759998,2.4714844,,Source,CH3,,-19.9759998,-1.7187500,,Source,CH4,,-19.9759998,493.750005960E-3,
Vertical Units,V,,-19.9720001,-101.2500077E-3,,Vertical Units,V,,-19.9720001,2.4712501,,Vertical Units,V,,-19.9720001,-1.7162499,,Vertical Units,V,,-19.9720001,492.187500000E-3,
Vertical Scale,204.78125973E-3,,-19.9680004,-101.2500077E-3,,Vertical Scale,511.953113557E-3,,-19.9680004,2.4695313,,Vertical Scale,2.0478125,,-19.9680004,-1.7125000,,Vertical Scale,5.11953133,,-19.9680004,489.843755960E-3,
Vertical Offset,0,,-19.9640007,-101.1562571E-3,,Vertical Offset,0,,-19.9640007,2.4687500,,Vertical Offset,0,,-19.9640007,-1.7099999,,Vertical Offset,0,,-19.9640007,491.406261921E-3,
Horizontal Units,s,,-19.9599991,-101.2500077E-3,,Horizontal Units,s,,-19.9599991,2.4724219,,Horizontal Units,s,,-19.9599991,-1.7084374,,Horizontal Units,s,,-19.9599991,492.187500000E-3,
